EDAM_data:0005, "Resource type"
EDAM_data:0006, "Data"
EDAM_data:0007, "Tool"
EDAM_data:0581, "Database"
EDAM_data:0582, "Ontology"
EDAM_data:0583, "Directory metadata"
EDAM_data:0831, "MeSH vocabulary"
EDAM_data:0832, "HGNC vocabulary"
EDAM_data:0835, "UMLS vocabulary"
EDAM_data:0842, "Identifier"
EDAM_data:0843, "Database entry"
EDAM_data:0844, "Molecular mass"
EDAM_data:0845, "Molecular charge"
EDAM_data:0846, "Chemical formula"
EDAM_data:0847, "QSAR descriptor"
EDAM_data:0848, "Raw sequence"
EDAM_data:0849, "Sequence record"
EDAM_data:0850, "Sequence set"
EDAM_data:0851, "Sequence mask character"
EDAM_data:0852, "Sequence mask type"
EDAM_data:0853, "DNA sense specification"
EDAM_data:0854, "Sequence length specification"
EDAM_data:0855, "Sequence metadata"
EDAM_data:0856, "Sequence feature source"
EDAM_data:0857, "Sequence search results"
EDAM_data:0858, "Sequence signature matches"
EDAM_data:0859, "Sequence signature model"
EDAM_data:0860, "Sequence signature data"
EDAM_data:0861, "Sequence alignment (words)"
EDAM_data:0862, "Dotplot"
EDAM_data:0863, "Sequence alignment"
EDAM_data:0864, "Sequence alignment parameter"
EDAM_data:0865, "Sequence similarity score"
EDAM_data:0866, "Sequence alignment metadata"
EDAM_data:0867, "Sequence alignment report"
EDAM_data:0868, "Sequence profile alignment"
EDAM_data:0869, "Sequence-profile alignment"
EDAM_data:0870, "Sequence distance matrix"
EDAM_data:0871, "Phylogenetic character data"
EDAM_data:0872, "Phylogenetic tree"
EDAM_data:0874, "Comparison matrix"
EDAM_data:0875, "Protein topology"
EDAM_data:0876, "Protein features report (secondary structure)"
EDAM_data:0877, "Protein features report (super-secondary)"
EDAM_data:0878, "Secondary structure alignment (protein)"
EDAM_data:0879, "Secondary structure alignment metadata (protein)"
EDAM_data:0880, "RNA secondary structure"
EDAM_data:0881, "Secondary structure alignment (RNA)"
EDAM_data:0882, "Secondary structure alignment metadata (RNA)"
EDAM_data:0883, "Structure"
EDAM_data:0884, "Tertiary structure record"
EDAM_data:0885, "Structure database search results"
EDAM_data:0886, "Structure alignment"
EDAM_data:0887, "Structure alignment report"
EDAM_data:0888, "Structure similarity score"
EDAM_data:0889, "Structural profile"
EDAM_data:0890, "Structural (3D) profile alignment"
EDAM_data:0891, "Sequence-3D profile alignment"
EDAM_data:0892, "Protein sequence-structure scoring matrix"
EDAM_data:0893, "Sequence-structure alignment"
EDAM_data:0894, "Amino acid annotation"
EDAM_data:0895, "Peptide annotation"
EDAM_data:0896, "Protein report"
EDAM_data:0897, "Protein property"
EDAM_data:0899, "Protein structural motifs and surfaces"
EDAM_data:0900, "Protein domain classification"
EDAM_data:0901, "Protein features report (domains)"
EDAM_data:0902, "Protein architecture report"
EDAM_data:0903, "Protein folding report"
EDAM_data:0904, "Protein features (mutation)"
EDAM_data:0905, "Protein interaction raw data"
EDAM_data:0906, "Protein interaction report"
EDAM_data:0907, "Protein family report"
EDAM_data:0909, "Vmax"
EDAM_data:0910, "Km"
EDAM_data:0911, "Nucleotide base annotation"
EDAM_data:0912, "Nucleic acid property"
EDAM_data:0914, "Codon usage data"
EDAM_data:0916, "Gene report"
EDAM_data:0917, "Gene classification"
EDAM_data:0918, "DNA variation"
EDAM_data:0919, "Chromosome report"
EDAM_data:0920, "Genotype/phenotype report"
EDAM_data:0922, "Nucleic acid features report (primers)"
EDAM_data:0923, "PCR experiment report"
EDAM_data:0924, "Sequence trace"
EDAM_data:0925, "Sequence assembly"
EDAM_data:0926, "Radiation Hybrid (RH) scores"
EDAM_data:0927, "Genetic linkage report"
EDAM_data:0928, "Gene expression profile"
EDAM_data:0931, "Microarray experiment report"
EDAM_data:0932, "Oligonucleotide probe data"
EDAM_data:0933, "SAGE experimental data"
EDAM_data:0934, "MPSS experimental data"
EDAM_data:0935, "SBS experimental data"
EDAM_data:0936, "Sequence tag profile (with gene assignment)"
EDAM_data:0937, "Protein X-ray crystallographic data"
EDAM_data:0938, "Protein NMR data"
EDAM_data:0939, "Protein circular dichroism (CD) spectroscopic data"
EDAM_data:0940, "Electron microscopy volume map"
EDAM_data:0941, "Electron microscopy model"
EDAM_data:0942, "2D PAGE image"
EDAM_data:0943, "Mass spectrometry spectra"
EDAM_data:0944, "Peptide mass fingerprint"
EDAM_data:0945, "Peptide identification"
EDAM_data:0946, "Pathway or network annotation"
EDAM_data:0947, "Biological pathway map"
EDAM_data:0948, "Data resource definition"
EDAM_data:0949, "Workflow metadata"
EDAM_data:0950, "Mathematical model"
EDAM_data:0951, "Statistical estimate score"
EDAM_data:0952, "EMBOSS database resource definition"
EDAM_data:0953, "Version information"
EDAM_data:0954, "Database cross-mapping"
EDAM_data:0955, "Data index"
EDAM_data:0956, "Data index report"
EDAM_data:0957, "Database metadata"
EDAM_data:0958, "Tool metadata"
EDAM_data:0959, "Job metadata"
EDAM_data:0960, "User metadata"
EDAM_data:0962, "Small molecule report"
EDAM_data:0963, "Cell line report"
EDAM_data:0964, "Scent annotation"
EDAM_data:0966, "Ontology term"
EDAM_data:0967, "Ontology concept data"
EDAM_data:0968, "Keyword"
EDAM_data:0970, "Citation"
EDAM_data:0971, "Article"
EDAM_data:0972, "Text mining report"
EDAM_data:0974, "Entity identifier"
EDAM_data:0975, "Data resource identifier"
EDAM_data:0976, "Identifier (typed)"
EDAM_data:0977, "Tool identifier"
EDAM_data:0978, "Discrete entity identifier"
EDAM_data:0979, "Entity feature identifier"
EDAM_data:0980, "Entity collection identifier"
EDAM_data:0981, "Phenomenon identifier"
EDAM_data:0982, "Molecule identifier"
EDAM_data:0983, "Atom ID"
EDAM_data:0984, "Molecule name"
EDAM_data:0985, "Molecule type"
EDAM_data:0986, "Chemical identifier"
EDAM_data:0987, "Chromosome name"
EDAM_data:0988, "Peptide identifier"
EDAM_data:0989, "Protein identifier"
EDAM_data:0990, "Compound name"
EDAM_data:0991, "Chemical registry number"
EDAM_data:0992, "Ligand identifier"
EDAM_data:0993, "Drug identifier"
EDAM_data:0994, "Amino acid identifier"
EDAM_data:0995, "Nucleotide identifier"
EDAM_data:0996, "Monosaccharide identifier"
EDAM_data:0997, "Chemical name (ChEBI)"
EDAM_data:0998, "Chemical name (IUPAC)"
EDAM_data:0999, "Chemical name (INN)"
EDAM_data:1000, "Chemical name (brand)"
EDAM_data:1001, "Chemical name (synonymous)"
EDAM_data:1002, "Chemical registry number (CAS)"
EDAM_data:1003, "Chemical registry number (Beilstein)"
EDAM_data:1004, "Chemical registry number (Gmelin)"
EDAM_data:1005, "HET group name"
EDAM_data:1006, "Amino acid name"
EDAM_data:1007, "Nucleotide code"
EDAM_data:1008, "Polypeptide chain ID"
EDAM_data:1009, "Protein name"
EDAM_data:1010, "Enzyme identifier"
EDAM_data:1011, "EC number"
EDAM_data:1012, "Enzyme name"
EDAM_data:1013, "Restriction enzyme name"
EDAM_data:1014, "Sequence position specification"
EDAM_data:1015, "Sequence feature ID"
EDAM_data:1016, "Sequence position"
EDAM_data:1017, "Sequence range"
EDAM_data:1018, "Nucleic acid feature identifier"
EDAM_data:1019, "Protein feature identifier"
EDAM_data:1020, "Sequence feature key"
EDAM_data:1021, "Sequence feature qualifier"
EDAM_data:1022, "Sequence feature label"
EDAM_data:1023, "EMBOSS Uniform Feature Object"
EDAM_data:1024, "Codon name"
EDAM_data:1025, "Gene identifier"
EDAM_data:1026, "Gene symbol"
EDAM_data:1027, "Gene ID (NCBI)"
EDAM_data:1028, "Gene identifier (NCBI RefSeq)"
EDAM_data:1029, "Gene identifier (NCBI UniGene)"
EDAM_data:1030, "Gene identifier (Entrez)"
EDAM_data:1031, "Gene ID (CGD)"
EDAM_data:1032, "Gene ID (DictyBase)"
EDAM_data:1033, "Ensembl gene ID"
EDAM_data:1034, "Gene ID (SGD)"
EDAM_data:1035, "Gene ID (GeneDB)"
EDAM_data:1036, "TIGR identifier"
EDAM_data:1037, "TAIR accession (gene)"
EDAM_data:1038, "Protein domain ID"
EDAM_data:1039, "SCOP domain identifier"
EDAM_data:1040, "CATH domain ID"
EDAM_data:1041, "SCOP concise classification string (sccs)"
EDAM_data:1042, "SCOP sunid"
EDAM_data:1043, "CATH node ID"
EDAM_data:1044, "Kingdom name"
EDAM_data:1045, "Species name"
EDAM_data:1046, "Strain name"
EDAM_data:1047, "URI"
EDAM_data:1048, "Database ID"
EDAM_data:1049, "Directory name"
EDAM_data:1050, "File name"
EDAM_data:1051, "Ontology name"
EDAM_data:1052, "URL"
EDAM_data:1053, "URN"
EDAM_data:1055, "LSID"
EDAM_data:1056, "Database name"
EDAM_data:1057, "Sequence database name"
EDAM_data:1058, "Enumerated file name"
EDAM_data:1059, "File name extension"
EDAM_data:1060, "File base name"
EDAM_data:1061, "QSAR descriptor name"
EDAM_data:1062, "Database entry identifier"
EDAM_data:1063, "Sequence identifier"
EDAM_data:1064, "Sequence set ID"
EDAM_data:1065, "Sequence signature identifier"
EDAM_data:1066, "Sequence alignment ID"
EDAM_data:1067, "Phylogenetic distance matrix identifier"
EDAM_data:1068, "Phylogenetic tree ID"
EDAM_data:1069, "Comparison matrix identifier"
EDAM_data:1070, "Structure ID"
EDAM_data:1071, "Structural (3D) profile ID"
EDAM_data:1072, "Structure alignment ID"
EDAM_data:1073, "Amino acid index ID"
EDAM_data:1074, "Protein interaction ID"
EDAM_data:1075, "Protein family identifier"
EDAM_data:1076, "Codon usage table name"
EDAM_data:1077, "Transcription factor identifier"
EDAM_data:1078, "Microarray experiment annotation ID"
EDAM_data:1079, "Electron microscopy model ID"
EDAM_data:1080, "Gene expression report ID"
EDAM_data:1081, "Genotype and phenotype annotation ID"
EDAM_data:1082, "Pathway or network identifier"
EDAM_data:1083, "Workflow ID"
EDAM_data:1084, "Data resource definition ID"
EDAM_data:1085, "Biological model ID"
EDAM_data:1086, "Compound identifier"
EDAM_data:1087, "Ontology concept ID"
EDAM_data:1088, "Article ID"
EDAM_data:1089, "FlyBase ID"
EDAM_data:1091, "WormBase name"
EDAM_data:1092, "WormBase class"
EDAM_data:1093, "Sequence accession"
EDAM_data:1094, "Sequence type"
EDAM_data:1095, "EMBOSS Uniform Sequence Address"
EDAM_data:1096, "Sequence accession (protein)"
EDAM_data:1097, "Sequence accession (nucleic acid)"
EDAM_data:1098, "RefSeq accession"
EDAM_data:1099, "UniProt accession (extended)"
EDAM_data:1100, "PIR identifier"
EDAM_data:1101, "TREMBL accession"
EDAM_data:1102, "Gramene primary identifier"
EDAM_data:1103, "EMBL/GenBank/DDBJ ID"
EDAM_data:1104, "Sequence cluster ID (UniGene)"
EDAM_data:1105, "dbEST accession"
EDAM_data:1106, "dbSNP ID"
EDAM_data:1110, "EMBOSS sequence type"
EDAM_data:1111, "EMBOSS listfile"
EDAM_data:1112, "Sequence cluster ID"
EDAM_data:1113, "Sequence cluster ID (COG)"
EDAM_data:1114, "Sequence motif identifier"
EDAM_data:1115, "Sequence profile ID"
EDAM_data:1116, "ELM ID"
EDAM_data:1117, "Prosite accession number"
EDAM_data:1118, "HMMER hidden Markov model ID"
EDAM_data:1119, "JASPAR profile ID"
EDAM_data:1120, "Sequence alignment type"
EDAM_data:1121, "BLAST sequence alignment type"
EDAM_data:1122, "Phylogenetic tree type"
EDAM_data:1123, "TreeBASE study accession number"
EDAM_data:1124, "TreeFam accession number"
EDAM_data:1125, "Comparison matrix type"
EDAM_data:1126, "Comparison matrix name"
EDAM_data:1127, "PDB ID"
EDAM_data:1128, "AAindex ID"
EDAM_data:1129, "BIND accession number"
EDAM_data:1130, "IntAct accession number"
EDAM_data:1131, "Protein family name"
EDAM_data:1132, "InterPro entry name"
EDAM_data:1133, "InterPro accession"
EDAM_data:1134, "InterPro secondary accession"
EDAM_data:1135, "Gene3D ID"
EDAM_data:1136, "PIRSF ID"
EDAM_data:1137, "PRINTS code"
EDAM_data:1138, "Pfam accession number"
EDAM_data:1139, "SMART accession number"
EDAM_data:1140, "Superfamily hidden Markov model number"
EDAM_data:1141, "TIGRFam ID"
EDAM_data:1142, "ProDom accession number"
EDAM_data:1143, "TRANSFAC accession number"
EDAM_data:1144, "ArrayExpress accession number"
EDAM_data:1145, "PRIDE experiment accession number"
EDAM_data:1146, "EMDB ID"
EDAM_data:1147, "GEO accession number"
EDAM_data:1148, "GermOnline ID"
EDAM_data:1149, "EMAGE ID"
EDAM_data:1150, "Disease ID"
EDAM_data:1151, "HGVbase ID"
EDAM_data:1152, "HIVDB identifier"
EDAM_data:1153, "OMIM ID"
EDAM_data:1154, "KEGG object identifier"
EDAM_data:1155, "Pathway ID (reactome)"
EDAM_data:1156, "Pathway ID (aMAZE)"
EDAM_data:1157, "Pathway ID (BioCyc)"
